rank,title,url,score,author,posted
1,iOS 27 is adding a 'Create a Pass' button to Apple Wallet,https://walletwallet.alen.ro/blog/ios-27-wallet-create-pass/,80 points,alentodorov,1 hour ago
2,AI Product Graveyard,https://tooldirectory.ai/ai-graveyard,45 points,StriverGuy,29 minutes ago
3,Async Rust never left the MVP state,https://tweedegolf.nl/en/blog/237/async-rust-never-left-the-mvp-state,273 points,pjmlp,6 hours ago
4,Should I Run Plain Docker Compose in Production in 2026?,https://distr.sh/blog/running-docker-in-production/,139 points,pmig,4 hours ago
5,Bun is being ported from Zig to Rust,https://github.com/oven-sh/bun/commit/46d3bc29f270fa881dd5730ef1549e88407701a5,606 points,SergeAx,12 hours ago
6,Empty Screenings – Finds AMC movie screenings with few or no tickets sold,https://walzr.com/empty-screenings,199 points,MrBuddyCasino,8 hours ago
7,Lessons for Agentic Coding: What should we do when code is cheap?,https://www.dbreunig.com/2026/05/04/10-lessons-for-agentic-coding.html,124 points,ingve,6 hours ago
8,When everyone has AI and the company still learns nothing,https://www.robert-glaser.de/when-everyone-has-ai-and-the-company-still-learns-nothing/,97 points,youngbrioche,4 hours ago
9,"Show HN: I built a new word game, Wordtrak",https://wordtrak.com/blog/2026-05-05-I-built-a-new-word-game,11 points,qrush,1 hour ago
10,Hand Drawn QR Codes (2025),https://sethmlarson.dev/hand-drawn-qr-codes,150 points,jollyjerry,9 hours ago
11,Google Chrome silently installs a 4 GB AI model on your device without consent,https://www.thatprivacyguy.com/blog/chrome-silent-nano-install/,471 points,john-doe,5 hours ago
12,How OpenAI delivers low-latency voice AI at scale,https://openai.com/index/delivering-low-latency-voice-ai-at-scale/,436 points,Sean-Der,17 hours ago
13,sRGB profile comparison,https://ninedegreesbelow.com/photography/srgb-profile-comparison.html,15 points,Retr0id,2 hours ago
14,Farewell to a Giant of Botany,https://nautil.us/farewell-to-a-giant-of-botany-1280409,54 points,Brajeshwar,7 hours ago
15,CVE-2026-31431: Copy Fail vs. rootless containers,https://www.dragonsreach.it/2026/05/04/cve-2026-31431-copy-fail-rootless-containers/,132 points,averi,9 hours ago
16,Train Your Own LLM from Scratch,https://github.com/angelos-p/llm-from-scratch,314 points,kristianpaul,9 hours ago
17,Agent Skills,https://addyosmani.com/blog/agent-skills/,296 points,BOOSTERHIDROGEN,15 hours ago
18,Mouse Pointer as a Mere Mortal,https://unsung.aresluna.org/mouse-pointer-as-a-mere-mortal/,46 points,zdw,5 hours ago
19,Docker 29 has changed its default image store for new installs,https://docs.docker.com/engine/storage/containerd,3 points,neitsab,1 hour ago
20,Why I Created phpc.tv,https://afilina.com/why-phpc-tv,36 points,luu,6 hours ago
21,The Frog for Whom the Bell Tolls,https://sethmlarson.dev/the-frog-for-whom-the-bell-tolls,26 points,anujbans,6 hours ago
22,Does Employment Slow Cognitive Decline? Evidence from Labor Market Shocks,https://www.nber.org/papers/w35117,317 points,littlexsparkee,21 hours ago
23,Securing a DoD contractor: Finding a multi-tenant authorization vulnerability,https://www.strix.ai/blog/how-strix-found-zero-auth-vulnerability-dod-backed-startup,203 points,bearsyankees,19 hours ago
24,2-D Mathematical Curves,https://www.2dcurves.com/,53 points,the-mitr,9 hours ago
25,Setting up server monitoring for a Rails app on Hatchbox,https://blog.appsignal.com/2026/04/30/setting-up-server-monitoring-for-a-rails-app-on-hatchbox.html,12 points,andreigaspar,4 hours ago
26,Biscuit,https://github.com/yattsu/biscuit,75 points,unixfg,10 hours ago
27,Redis array: short story of a long development process,https://antirez.com/news/164,297 points,antirez,23 hours ago
28,Kids bypass age verification with fake moustaches,https://www.theregister.com/2026/05/04/uk_online_safety_act_age_checks_subvert/,167 points,dreadsword,8 hours ago
29,When networking doesn't work,https://www.os2museum.com/wp/when-networking-doesnt-work/,79 points,kencausey,12 hours ago
30,Talking to strangers at the gym,https://thienantran.com/talking-to-35-strangers-at-the-gym/,1410 points,thitran,1 day ago
31,Formatting a 25M-line codebase overnight,https://stripe.dev/blog/formatting-an-entire-25-million-line-codebase-overnight-the-rubyfmt-story,186 points,r00k,17 hours ago
32,pgxbackup: Continuity Support for pgBackRest,https://thebuild.com/blog/2026/05/01/pgxbackup-continuity-support-for-pgbackrest/,63 points,Wingy,11 hours ago
33,1966 Ford Mustang Converted into a Tesla with Working 'Full Self-Driving',https://electrek.co/2026/05/02/tesla-1966-mustang-ev-conversion-full-self-driving/,187 points,Brajeshwar,22 hours ago
34,Let's talk about LLMs,https://www.b-list.org/weblog/2026/apr/09/llms/,167 points,cdrnsf,20 hours ago
35,Testing Mac OS on the Apple Network Server 2.0 ROMs,http://oldvcr.blogspot.com/2026/05/testing-macos-on-apple-network-server.html,89 points,zdw,16 hours ago
36,PyInfra 3.8.0,https://github.com/pyinfra-dev/pyinfra/releases/tag/v3.8.0,290 points,wowi42,1 day ago
37,"Microsoft Edge stores all passwords in memory in clear text, even when unused",https://twitter.com/L1v1ng0ffTh3L4N/status/2051308329880719730,580 points,cft,19 hours ago
38,How Monero’s proof of work works,https://blog.alcazarsec.com/tech/posts/how-moneros-proof-of-work-works,290 points,alcazar,23 hours ago
39,I am worried about Bun,https://wwj.dev/posts/i-am-worried-about-bun/,499 points,remote-dev,20 hours ago
40,GameStop makes $55.5B takeover offer for eBay,https://www.bbc.co.uk/news/articles/cn0p8yled1do,686 points,n1b0m,1 day ago
41,Pomiferous: The most extensive apples (pommes) database,https://pomiferous.com/,129 points,Ariarule,22 hours ago
42,NASA just released 12k more pictures from Artemis II mission,https://eol.jsc.nasa.gov/SearchPhotos/ShowQueryResults-Table.pl?results=177791454696961,5 points,bookofjoe,39 minutes ago
43,Y Combinator's Stake in OpenAI (0.6%?),https://daringfireball.net/2026/05/y_combinators_stake_in_openai,343 points,gyomu,13 hours ago
44,Gap between national food production and food-based dietary guidance (2025),https://www.nature.com/articles/s43016-025-01173-4,69 points,simonebrunozzi,10 hours ago
45,UK Fuel Price Intelligence – Market analytics from reporting stations,https://www.fuelinsight.co.uk,181 points,theazureguy,22 hours ago
46,A complete Llama2 inference engine that fits in 1356 bytes of x86 assembly,https://github.com/rdmsr/sectorllm,8 points,monax,6 hours ago
47,Sierra Raises $950M at $15B Valuation,https://sierra.ai/blog/better-customer-experiences-built-on-sierra,108 points,doppp,21 hours ago
48,US healthcare marketplaces shared citizenship and race data with ad tech giants,https://techcrunch.com/2026/05/04/us-healthcare-marketplaces-shared-citizenship-and-race-data-with-ad-tech-giants/,490 points,ZeidJ,20 hours ago
49,Transformers Are Inherently Succinct (2025),https://arxiv.org/abs/2510.19315,56 points,bearseascape,17 hours ago
50,Texico: Learn the principles of programming without even touching a computer,https://www3.nhk.or.jp/nhkworld/en/shows/texico/,205 points,o4c,1 day ago
51,What I'm Hearing About Cognitive Debt (So Far),https://margaretstorey.com/blog/2026/02/18/cognitive-debt-revisited/,206 points,raphaelcosta,11 hours ago
52,The Visible Zorker: Zork 3,https://eblong.com/infocom/visi/zork3/,70 points,zarlez,20 hours ago
53,Stop big tech from making users behave in ways they don't want to,https://economist.com/by-invitation/2026/04/29/stop-big-tech-from-making-users-behave-in-ways-they-dont-want-to,283 points,andsoitis,20 hours ago
54,Show HN: nfsdiag – A NFS diagnostic application,https://github.com/lsferreira42/nfsdiag,70 points,lsferreira42,19 hours ago
55,Newton's law of gravity passes its biggest test,https://www.science.org/content/article/newton-s-law-gravity-passes-its-biggest-test-ever,152 points,pseudolus,1 day ago
56,Heat pump sales rise across Europe,https://www.pv-magazine.com/2026/05/04/heat-pump-sales-rise-17-across-europe-in-q1-as-energy-prices-surge/,259 points,doener,19 hours ago
57,Original Apollo 11 Guidance Computer Source Code for Command and Lunar Module,https://github.com/chrislgarry/Apollo-11,11 points,tjek,9 hours ago
58,18th-century mechanical volcano roars to life 250 years later,https://www.sciencedaily.com/releases/2026/05/260502015359.htm,10 points,samizdis,9 hours ago
59,Oasis Linux,https://git.sr.ht/~mcf/oasis,21 points,birdculture,5 hours ago
60,Why are neural networks and cryptographic ciphers so similar? (2025),https://reiner.org/neural-net-ciphers,135 points,jxmorris12,1 day ago
61,Inexpressibility in Exp-Minus-Log (EML),https://arxiv.org/abs/2605.01636,10 points,unprovable,7 hours ago
62,Show HN: I Built a Museum Exhibit,https://knhash.in/built-an-exhibit/,32 points,kn81198,14 hours ago
63,China Opens Rocket Launches to International Satellites,https://www.china-in-space.com/p/china-opens-dozens-of-rocket-launches,15 points,JPLeRouzic,4 hours ago
64,DAG Workflow Engine,https://github.com/vivekg13186/Daisy-DAG,62 points,blobmty,1 day ago
65,Trademark violation: Fake Notepad++ for Mac,https://notepad-plus-plus.org/news/npp-trademark-infringement/,617 points,maxloh,1 day ago
66,A treasure trove of fossils rewrites the story of early life,https://www.quantamagazine.org/a-treasure-trove-of-cambrian-fossils-rewrites-the-story-of-early-life-20260501/,106 points,worldvoyageur,1 day ago
67,'Point of no return': New Orleans relocation must start now due to sea level,https://www.theguardian.com/us-news/2026/may/04/new-orleans-sea-levels-relocation-climate-crisis,148 points,dmm,16 hours ago
68,BYOMesh – New LoRa mesh radio offers 100x the bandwidth,https://partyon.xyz/@nullagent/116499715071759135,473 points,nullagent,1 day ago
69,"Why AI Agents Need Proof Chains, Not Just Logs",https://github.com/rodriguezaa22ar-boop/atlas-trust-infrastructure,10 points,astra_omnia,11 hours ago
70,Text-to-CAD,https://github.com/earthtojake/text-to-cad,180 points,softservo,1 day ago
71,World's biggest RC A380 [video],https://www.youtube.com/watch?v=wr9YLGbhxng,104 points,NaOH,1 day ago
72,Jonathan Swift's Last Joke,https://www.newyorker.com/culture/the-weekend-essay/jonathan-swifts-last-joke,42 points,samizdis,15 hours ago
73,The Car That Watches You Back: The Advertising Infrastructure of Modern Cars,https://nobodyaskedforthis.lol/posts/connected-car/,102 points,cadito,11 hours ago
74,A desktop made for one,https://isene.org/2026/05/Audience-of-One.html,436 points,xngbuilds,1 day ago
75,Mercedes-Benz commits to bringing back physical buttons,https://www.drive.com.au/news/mercedes-benz-commits-to-bringing-back-phycial-buttons/,847 points,teleforce,1 day ago
76,The 'Hidden' Costs of Great Abstractions,https://jdgr.net/the-hidden-costs-of-great-abstractions,218 points,jdgr,1 day ago
77,"“Kitten Space Agency”, a Spiritual Successor to “Kerbal Space Program” (2025)",https://www.space.com/entertainment/space-games/kitten-space-agency-is-the-spiritual-successor-to-kerbal-space-program-and-they-have-an-ex-spacex-engineer-on-the-team-interview,161 points,Tomte,19 hours ago
78,Using “underdrawings” for accurate text and numbers,https://samcollins.blog/underdrawings/,369 points,samcollins,1 day ago
79,Buffon's needle problem visualized,https://ivanludvig.dev/pi-needle/,22 points,IvanLudvig,13 hours ago
80,A little comparison between R and Kap,https://blog.dhsdevelopments.com/a-little-comparison-between-r-and-kap,28 points,tosh,18 hours ago
81,"Fun with polynomials and linear algebra; or, slight abstract nonsense",https://guille.site/posts/abstract-nonsense/,59 points,LolWolf,1 day ago
82,The Road to a Billion-Token Context,https://cacm.acm.org/news/the-road-to-a-billion-token-context/,62 points,pseudolus,1 day ago
83,"Show HN: I indexed 8,643 BSides talks across 227 chapters and 6 continents",https://allbsides.com/,13 points,Parkado,15 hours ago
84,"New statue in London, attributed to Banksy, of a suited man, blinded by a flag",https://www.smithsonianmag.com/smart-news/attributed-to-banksy-a-new-statue-of-a-suited-man-blinded-by-a-flag-and-walking-off-a-ledge-appeared-in-central-london-180988662/,559 points,dryadin,1 day ago
85,Introduction to Atom,https://validator.w3.org/feed/docs/atom.html,132 points,susam,1 day ago
86,DeepSeek V4 – almost on the frontier,https://simonwillison.net/2026/Apr/24/deepseek-v4/,663 points,indigodaddy,3 days ago
87,Offenders sentenced up to 10 years for spying on TSMC,https://www.taipeitimes.com/News/front/archives/2026/04/28/2003856358,119 points,ironyman,19 hours ago
88,Harvard doctor believes we've been getting cholesterol all wrong,https://www.telegraph.co.uk/health-fitness/conditions/heart-health/harvard-medic-cholesterol-statins/,11 points,g4k,5 hours ago
89,DeepClaude – Claude Code agent loop with DeepSeek V4 Pro,https://github.com/aattaran/deepclaude,660 points,alattaran,1 day ago
90,Show HN: I built a native macOS audio player and it changed my life,https://github.com/chrisallick/light-crime-audio-player,13 points,chrisallick,13 hours ago
91,Show HN: I built a native macOS audio player and it changed my life,https://github.com/chrisallick/light-crime-audio-player,13 points,chrisallick,13 hours ago
92,I recreated the Apple Lisa computer inside an FPGA [video],https://www.youtube.com/watch?v=8jNQDcpHc68,133 points,cyrc,1 day ago
93,What is Z-Angle Memory and why is Intel developing it?,https://www.hpcwire.com/2026/02/05/what-is-z-angle-memory-and-why-is-intel-developing-it/,128 points,rbanffy,1 day ago
94,Trillions in Retirement Dollars Flow into Opaque Trusts,https://www.bloomberg.com/news/features/2026-05-03/trillions-in-us-retirement-dollars-flow-into-opaque-trusts-that-rival-etfs,115 points,koolhead17,20 hours ago
95,Security through obscurity is not bad,https://mobeigi.com/blog/security/security-through-obscurity-is-not-bad/,198 points,mobeigi,1 day ago
96,Denuvo has been cracked in all single-player games it previously protected,https://www.tomshardware.com/video-games/pc-gaming/denuvo-has-been-bypassed-in-all-single-player-games-it-previously-protected-2k-games-and-denuvo-reportedly-retaliate-with-mandatory-14-day-online-checks,397 points,oceansky,2 days ago
97,Some children are drawing on fake moustaches to bypass online age checks,https://www.independent.co.uk/news/uk/home-news/children-bypassing-age-verification-social-media-b2968803.html,30 points,latexr,11 hours ago
98,"From CVS to Git, thirty years of source control",https://evilgeniuslabs.ca/blog/from-cvs-to-git-thirty-years-of-source-control,68 points,andsoitis,1 day ago
99,SprintiQ – open-source sprint planning for Claude Code,https://github.com/SprintiQ-Incorporated/sprintiq,11 points,sprintiq,14 hours ago
100,Group averages obscure how an individual's brain controls behavior: study,https://med.stanford.edu/news/all-news/2026/04/brain-scans-individual-versus-group.html,127 points,hhs,2 days ago
101,Show HN: Ableton Live MCP,https://github.com/bschoepke/ableton-live-mcp,116 points,bschoepke,1 day ago
102,The state of ARM64 on Windows in 2026,https://ssg.dev/the-state-of-arm64-on-windows-in-2026/,10 points,sedatk,18 hours ago
103,DHS demanded Google surrender data on a Canadian man over anti-ICE posts,https://www.wired.com/story/dhs-demanded-google-surrender-data-on-canadians-activity-location-over-anti-ice-posts/,114 points,HotGarbage,18 hours ago
104,Woman's Talkspace therapy app sessions exposed in court,https://www.proofnews.org/womans-talkspace-therapy-app-sessions-exposed-in-court/,30 points,g8oz,12 hours ago
105,"OpenAI, Google, and Microsoft Back Bill to Fund 'AI Literacy' in Schools",https://www.404media.co/literacy-in-future-technologies-artificial-intelligence-act-adam-schiff-mike-rounds/,117 points,cdrnsf,21 hours ago
106,Stitch together lots of little HTML pages with navigations for interactions,https://blog.jim-nielsen.com/2026/small-html-pages/,86 points,OuterVale,1 day ago
107,Why TUIs are back,https://wiki.alcidesfonseca.com/blog/why-tuis-are-back/,413 points,rickcarlino,1 day ago
108,"Shelley: Mobile-friendly, web-based, multi-modal, single-user coding agent",https://github.com/boldsoftware/shelley,9 points,indigodaddy,15 hours ago
109,I built my own hair electrolysis machine,https://www.scd31.com/posts/diy-hair-electrolysis-machine,259 points,y1n0,1 day ago
110,K3sup – bootstrap K3s over SSH in < 60s,https://github.com/alexellis/k3sup,90 points,rickcarlino,1 day ago
111,What to do before quantum computers break today's encryption (Cloudflare),https://www.youtube.com/watch?v=DHIyAbLuQyg,4 points,emot,3 hours ago
112,Nuclear receptor 4A1 linked to health effects of coffee: study,https://sciencex.com/news/2026-04-coffee-doesnt-key-biological-pathway.html,143 points,pseudolus,2 days ago
113,Google is discontinuing its free web search index for developers,https://www.heise.de/en/news/Google-is-discontinuing-its-free-web-search-index-for-developers-11152411.html,54 points,hmokiguess,18 hours ago
114,Amazon rolls out Claude Code and Codex internally,https://www.businessinsider.com/amazon-claude-code-codex-all-employees-after-pushback-2026-5,12 points,preston-kwei,7 hours ago
115,"Canadian election databases use ""canary traps""–and they work",https://arstechnica.com/tech-policy/2026/05/in-canada-a-canary-trap-springs-shut-and-ids-election-database-leak/,47 points,ColinWright,16 hours ago
116,Southwest Headquarters Tour,https://katherinemichel.github.io/blog/travel/southwest-headquarters-tour-2026.html,321 points,KatiMichel,1 day ago
117,Apple confirms iOS 26.5 Messages app adds RCS end-to-end encryption,https://9to5mac.com/2026/05/04/apple-confirms-ios-26-5-messages-app-adds-rcs-end-to-end-encryption/,41 points,latchkey,15 hours ago
118,Show HN: A tiny C program where an LLM rewires its DAG while running,https://github.com/kouhxp/liteflow,11 points,mrkn1,11 hours ago
119,US–Indian space mission maps extreme subsidence in Mexico City,https://phys.org/news/2026-04-usindian-space-mission-extreme-subsidence.html,219 points,leopoldj,1 day ago
120,Apple Explores Using Intel and Samsung to Build Main Device Chips in the US,https://www.bloomberg.com/news/articles/2026-05-05/apple-explores-using-intel-and-samsung-to-build-main-device-chips-in-the-us,25 points,tambourine_man,10 hours ago
121,Apple Explores Using Intel and Samsung to Build Main Device Chips in the US,https://www.bloomberg.com/news/articles/2026-05-05/apple-explores-using-intel-and-samsung-to-build-main-device-chips-in-the-us,25 points,tambourine_man,10 hours ago
122,Frizbee is a tool you may throw a tag at and it comes back with a checksum,https://github.com/stacklok/frizbee,10 points,mooreds,17 hours ago
123,Alberta voter list leak is a potential public safety disaster,https://globalnews.ca/news/11828244/alberta-voter-list-leak-public-safety-disaster/,120 points,Teever,21 hours ago
124,CollectWise (YC F24) Is Hiring,https://www.ycombinator.com/companies/collectwise/jobs/rEWfZ6R-senior-forward-deployed-engineer,N/A,N/A,3 days ago
125,Windows quality update: Progress we've made since March,https://blogs.windows.com/windows-insider/2026/05/01/windows-quality-update-progress-weve-made-since-march/,176 points,jovial_cavalier,2 days ago
126,"Re: Slow USB storage device? (util-Linux-ng, 2010)",https://marc.info/?l=util-linux-ng&m=126351534518733&w=2,19 points,juliusdavies,12 hours ago
127,A man who blew up a nuclear power station and disappeared,https://www.theguardian.com/world/2026/may/05/the-man-who-blew-up-a-nuclear-power-station-koeberg-south-africa,10 points,sam-cop-vimes,7 hours ago
128,Modern jet engine turbines: each blade a single crystal (2015),https://www.americanscientist.org/article/each-blade-a-single-crystal,74 points,whycome,1 day ago
129,Suspected YouTube bug spikes RAM over 7gbs users report lag and frozen tabs,https://www.tomshardware.com/software/a-suspected-youtube-interface-bug-spikes-ram-usage-above-7-gigabytes-users-report-severe-lag-and-frozen-tabs-bug-might-be-trapping-browsers-in-an-endless-layout-loop,33 points,Zeidd,13 hours ago
130,Dav2d,https://code.videolan.org/videolan/dav2d,613 points,dabinat,2 days ago
131,Why Almost Everyone Loses–Except a Few Sharks–On Prediction Markets,https://www.wsj.com/finance/investing/polymarket-kalshi-betting-profits-prediction-markets-eb23ac11,96 points,JumpCrisscross,1 day ago
132,Alert-driven monitoring,https://simpleobservability.com/docs/alert-driven-monitoring,124 points,khazit,1 day ago
133,Let's Buy Spirit Air,https://letsbuyspiritair.com/,592 points,bjhess,1 day ago
134,Ask HN: Best Embedding Models?,https://news.ycombinator.com/item?id=48017668,14 points,devstein,10 hours ago
135,A couple million lines of Haskell: Production engineering at Mercury,https://blog.haskell.org/a-couple-million-lines-of-haskell/,427 points,unignorant,2 days ago
136,"I'm Peter Roberts, immigration attorney who does work for YC and startups. AMA",https://news.ycombinator.com/item?id=47975676,206 points,proberts,3 days ago
137,The text mode lie: why modern TUIs are a nightmare for accessibility,https://xogium.me/the-text-mode-lie-why-modern-tuis-are-a-nightmare-for-accessibility,292 points,SpyCoder77,1 day ago
138,Bad Connection: Global telecom exploitation by covert surveillance actors,https://citizenlab.ca/research/uncovering-global-telecom-exploitation-by-covert-surveillance-actors/,208 points,miohtama,1 day ago
139,Tar Files Created on macOS Display Errors When Extracting on Linux (2024),https://aruljohn.com/blog/macos-created-tar-files-linux-errors/,151 points,heresie-dabord,1 day ago
140,Make your own microforest (2025),https://ambrook.com/offrange/environment/a-forest-in-your-pocket,112 points,bookofjoe,1 day ago
141,This Month in Ladybird – April 2026,https://ladybird.org/newsletter/2026-04-30/,498 points,richardboegli,2 days ago
142,Do_not_track,https://donottrack.sh/,540 points,RubyGuy,2 days ago
143,OpenAI’s o1 correctly diagnosed 67% of ER patients vs. 50-55% by triage doctors,https://www.theguardian.com/technology/2026/apr/30/ai-outperforms-doctors-in-harvard-trial-of-emergency-triage-diagnoses,500 points,donsupreme,1 day ago
144,"As Oil Prices Stay High, China Doubles Down on Wind Power",https://www.nytimes.com/2026/05/05/business/china-wind-turbines.html,4 points,JumpCrisscross,2 hours ago
145,Barman – Backup and Recovery Manager for PostgreSQL,https://github.com/EnterpriseDB/barman,184 points,nateb2022,2 days ago
146,Unsigned sizes: A five year mistake,https://c3-lang.org/blog/unsigned-sizes-a-five-year-mistake/,116 points,lerno,2 days ago
147,The agent harness belongs outside the sandbox,https://www.mendral.com/blog/agent-harness-belongs-outside-sandbox,178 points,shad42,2 days ago
148,Metal Gear Solid 2's source code has been leaked on 4chan,https://www.thegamer.com/mgs2-hd-edition-source-code-massive-leak/,308 points,rishabhd,1 day ago
149,"Infrasound waves stop kitchen fires, but can they replace sprinklers?",https://arstechnica.com/gadgets/2026/05/startup-says-sound-waves-can-replace-fire-sprinklers-experts-arent-so-sure/,59 points,0in,1 day ago
150,A physics engine with incremental rollback for multiplayer games,https://easel.games/blog/2026-rollback-physics,124 points,BSTRhino,2 days ago
